,url,numero,tipo,lugar,descripcion,importe,fecha,procedimiento,situacion
0,https://www.gipuzkoa.eus/es/web/ogasuna/-/18820648,221,Pabellón industrial,Azpeitia (Gipuzkoa),"PABELLON INDUSTRIAL, dedicado a calderería, sito en el Barrio de Landeta (Achubiaga), de Azpeitia, actualmente señalado con el número quince de Atxubiaga kalea","751.340,00 €","Primera licitación, 25/11/2020,  y segunda licitación: 27/11/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
1,https://www.gipuzkoa.eus/es/web/ogasuna/-/18672424,220,Vivienda,Lasarte - Oria (Gipuzkoa),Vivienda letra B o izquierda del piso primero de Nagusi kalea número ocho. Anejo: Terraza a la espalda de 42 m2,"101.768,59 €","Primera licitación, 25/11/2020,  y segunda licitación: 27/11/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Suspendida por pago
2,https://www.gipuzkoa.eus/es/web/ogasuna/-/18775287,219,Trastero,Beasain (Gipuzkoa),"Trastero número dos en planta de sótano, de la casa NUMERO DIECISIETE de la AVENIDA DE NAVARRA de BEASAIN. Tiene una superficie construida de diez meros setenta y nueve decímetros cuadrados.","6.165,76 €","Primera licitación, 25/11/2020,  y segunda licitación: 27/11/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
3,https://www.gipuzkoa.eus/es/web/ogasuna/-/18775271,218,Garaje,Hondarribia (Gipuzkoa),"LOCAL DE GARAJE, señalado con el número SIETE, situado en la planta de SOTANO, del edificio sito en la calle JUAN DE LABORDA, número ONCE de la ciudad de Hondarribia. Superficie construida: 16,35 m2","30.105,05 €","Primera licitación, 25/11/2020,  y segunda licitación: 27/11/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
4,https://www.gipuzkoa.eus/es/web/ogasuna/-/18387382,217,Trastero,Beasain,"TRASTERO Nº 20, de la casa número 17 de la Avenida de Navarra de Beasain. Superficie: 3,84 m2.","2.270,00 €","Primera licitación, 04/11/2020 y segunda licitación, 06/11/2020","Subasta: primera licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
5,https://www.gipuzkoa.eus/es/web/ogasuna/-/18387366,216,Trastero,Beasain,"TRASTERO Nº 19, de la casa número 17 de la Avenida de Navarra de Beasain. Superficie: 13,88 m2.","5.260,00 €","Primera licitación, 04/11/2020 y segunda licitación, 06/11/2020","Subasta: primera licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
6,https://www.gipuzkoa.eus/es/web/ogasuna/-/18387357,215,Trastero,Beasain,"TRASTERO Nº 11, de la casa número 17 de la Avenida de Navarra de Beasain. Superficie: 5,93 m2.","3.060,00 €","Primera licitación, 04/11/2020 y segunda licitación, 06/11/2020","Subasta: primera licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
7,https://www.gipuzkoa.eus/es/web/ogasuna/-/18387321,214,Trastero,Beasain,"TRASTERO Nº 14, de la casa número 17 de la Avenida de Navarra de Beasain. Superficie: 12,35 m2.","4.880,00 €","Primera licitación, 04/11/2020 y segunda licitación, 06/11/2020","Subasta: primera licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
8,https://www.gipuzkoa.eus/es/web/ogasuna/-/18387174,213,Terreno,Estepona,"Parcela de terreno radicante en el término municipal de Estepona, procede de la Urbanización Finca Pernet y de las parcelas que en la misma urbanización están señaladas con los números 21.22.20.23. Comprende una extensión superficial total de novecientos cuatro metros cuadrados.","257.740,00 €","Primera licitación, 04/06/2020 y segunda licitación, 06/11/2020","Subasta: primera licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
9,https://www.gipuzkoa.eus/es/web/ogasuna/-/18387207,212,Terreno,Benahavís,"Parcela de terreno señalada con el número doscientos treinta y siete, procedente de la finca conocida como Sector “C” del Paln Parcial conocido como “El Herrojo”. Tiene una superficie de MIL SESENTA Y DOS METROS NOVENTA Y SEIS DECIMETROS CUADRADOS.","311.460,00 €","Primera licitación, 04/11/2020 y segunda licitación 06/11/2020","Subasta: primera licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
